"id","trust","fear","negative","sadness","anger","surprise","positive","disgust","joy","anticipation","realFAKEcat"
"1","1023861511",1,0,0,0,0,0,0,0,0,0,"fake"
"2","1183192955",0,1,1,0,0,0,0,0,0,0,"fake"
"3","1189773795",0,0,1,1,0,0,0,0,0,0,"fake"
"4","1204599498",0,0,0,0,0,0,1,0,0,0,"fake"
"5","1210430389",2,0,0,1,0,1,4,0,2,2,"fake"
"6","1213317158",1,0,0,1,0,1,2,0,1,1,"fake"
"7","1226758528",1,0,0,0,0,0,1,0,0,0,"fake"
"8","1230802453",0,1,1,1,0,0,0,1,0,0,"fake"
"9","1235967720",0,0,0,0,0,0,1,0,0,0,"fake"
"10","1248303008",0,0,0,0,0,0,0,0,0,1,"fake"
"11","1248315583",1,0,0,0,0,1,1,1,1,1,"fake"
"12","1257268832",1,0,0,0,0,1,1,1,1,1,"fake"
"13","1261824330",1,0,0,0,0,0,1,0,1,1,"fake"
"14","1265670629",1,0,0,0,0,1,1,0,1,1,"fake"
"15","1273331935",0,0,0,0,0,0,1,0,0,0,"fake"
"16","1274028569",0,0,1,0,0,0,0,0,0,0,"fake"
"17","1277870540",1,0,0,0,0,0,1,0,1,1,"fake"
"18","1284091600",0,0,1,0,1,0,0,1,0,0,"fake"
"19","1317142395",0,1,1,1,1,1,0,1,0,1,"fake"
"20","1330704084",0,0,0,0,0,0,0,0,0,1,"fake"
"21","1330730973",2,2,4,3,2,1,2,1,2,1,"fake"
"22","1330737617",1,0,0,0,0,1,2,0,1,1,"fake"
"23","1330765639",0,1,1,1,0,0,0,0,0,0,"fake"
"24","1348853138",0,1,1,1,0,0,0,0,0,0,"fake"
"25","1387782384",1,0,0,0,0,0,2,0,1,0,"fake"
"26","1392546412",0,0,0,0,0,0,0,0,0,1,"fake"
"27","1395106681",0,0,0,1,0,0,0,0,0,1,"fake"
"28","1395201197",1,0,0,0,0,0,1,0,1,2,"fake"
"29","1395209740",0,0,1,0,1,0,1,1,1,1,"fake"
"30","1427927588",0,0,1,1,0,0,0,1,0,0,"fake"
"31","1433594042",0,0,0,0,0,0,1,0,0,0,"fake"
"32","1433645851",1,0,0,0,0,0,1,0,0,1,"fake"
"33","1433774993",1,0,0,0,0,0,1,0,1,1,"fake"
"34","1433787398",0,0,0,0,0,0,1,0,1,0,"fake"
"35","1433883155",1,0,0,0,0,0,1,0,0,0,"fake"
"36","1449688830",0,1,0,0,1,0,0,0,0,0,"fake"
"37","1452772576",0,1,1,1,1,0,0,1,0,0,"fake"
"38","1468180101",0,0,0,0,0,0,1,0,1,0,"fake"
"39","1485249935",0,0,1,0,0,1,1,0,1,1,"fake"
"40","1487685195",0,0,0,0,1,1,1,0,0,0,"fake"
"41","1507516029",1,0,0,0,0,1,1,0,1,1,"fake"
"42","1537312369",0,0,1,0,1,0,0,1,0,0,"fake"
"43","1542391706",0,1,1,0,0,0,0,0,0,0,"fake"
"44","1542445809",0,0,0,0,0,1,0,0,0,0,"fake"
"45","1557463815",1,0,1,1,1,0,0,1,0,0,"fake"
"46","1566622212",1,0,0,0,0,0,1,0,0,0,"fake"
"47","1571470882",1,0,1,0,0,0,0,1,0,0,"fake"
"48","1589957654",0,1,1,1,1,0,0,0,0,0,"fake"
"49","1590057173",0,0,1,0,1,0,0,0,0,0,"fake"
"50","1607781768",0,0,1,1,0,0,1,1,1,1,"fake"
"51","1609135533",0,0,0,0,0,0,1,0,0,0,"fake"
"52","1616976959",1,0,2,1,1,1,1,1,1,1,"fake"
"53","1632800938",0,0,0,0,0,0,1,0,0,0,"fake"
"54","1633132763",1,0,0,0,0,1,4,0,2,1,"fake"
"55","1633213298",0,0,0,0,0,1,1,0,1,1,"fake"
"56","1636238618",0,0,0,0,0,0,1,0,1,1,"fake"
"57","1646767833",0,0,1,1,0,0,0,0,0,0,"fake"
"58","1669067957",0,0,1,0,0,0,0,0,0,0,"fake"
"59","1669198663",2,0,0,0,0,0,3,0,2,1,"fake"
"60","1674287647",0,0,1,0,0,0,1,0,0,0,"fake"
"61","1676245686",1,0,1,0,0,0,3,0,0,1,"fake"
"62","1676318177",0,0,0,0,0,0,0,0,0,1,"fake"
"63","1678402813",0,0,1,0,0,0,1,0,0,0,"fake"
"64","1678724590",0,0,1,0,0,1,0,0,0,0,"fake"
"65","1681218334",0,1,1,1,1,0,0,1,0,0,"fake"
"66","1684237204",1,0,0,0,0,1,2,0,2,1,"fake"
"67","1686368075",0,0,1,0,0,0,1,0,0,0,"fake"
"68","1690496172",1,1,1,1,1,0,0,1,0,0,"fake"
"69","1693113942",0,0,0,0,0,0,2,0,2,0,"fake"
"70","1693217171",0,0,0,0,0,0,1,0,1,0,"fake"
"71","1696075368",2,0,0,0,0,3,2,0,2,2,"fake"
"72","1702191575",1,0,0,0,0,0,0,0,0,0,"fake"
"73","1705448549",0,0,1,1,0,0,0,0,0,0,"fake"
"74","1710130184",0,1,1,1,0,1,0,1,0,0,"fake"
"75","1714566976",0,0,1,1,0,0,0,1,0,0,"fake"
"76","1714868109",1,0,0,0,0,1,1,1,1,1,"fake"
"77","1715191865",1,0,0,0,1,1,2,0,1,1,"fake"
"78","1727048423",0,0,1,0,0,0,0,0,0,1,"fake"
"79","1727698022",0,0,0,0,0,0,1,0,0,0,"fake"
"80","1731179799",0,0,0,0,0,0,1,0,0,0,"fake"
"81","1732842106",0,0,0,0,0,0,1,0,0,0,"fake"
"82","1732846459",2,0,0,0,0,1,2,0,1,1,"fake"
"83","1736460033",0,1,1,0,0,0,0,1,0,0,"fake"
"84","1744793885",0,0,1,0,0,1,1,0,0,0,"fake"
"85","1750886874",0,0,1,0,0,0,0,0,0,1,"fake"
"86","1751045024",0,0,1,0,1,0,0,1,0,0,"fake"
"87","1753628551",0,0,1,0,0,0,1,0,1,1,"fake"
"88","1762313713",1,0,0,0,0,1,3,0,1,1,"fake"
"89","1765843492",0,0,0,0,0,0,1,0,0,0,"fake"
"90","1807212212",0,1,1,1,1,0,2,0,1,2,"fake"
"91","1834373668",0,0,1,1,0,0,0,0,0,0,"fake"
"92","1843636136",0,0,0,0,0,0,0,1,0,0,"fake"
"93","1846954262",0,1,1,1,1,0,0,1,0,0,"fake"
"94","1853819567",0,1,1,0,1,0,0,1,0,0,"fake"
"95","1889911011",2,0,0,0,0,1,3,0,2,2,"fake"
"96","1889935702",2,0,0,0,0,0,2,0,0,0,"fake"
"97","1914982598",0,0,1,0,2,0,0,0,0,0,"fake"
"98","1926830972",0,0,0,0,0,0,2,0,0,0,"fake"
"99","1946888979",1,0,0,0,0,0,1,0,0,1,"fake"
"100","1946934078",0,0,0,0,0,0,1,0,1,0,"fake"
"101","1961855869",0,0,0,0,0,0,2,0,0,0,"fake"
"102","1968099643",2,1,0,0,0,0,2,0,2,2,"fake"
"103","1980246762",0,0,1,0,0,0,1,0,0,0,"fake"
"104","1980249974",1,0,1,0,0,0,0,0,0,0,"fake"
"105","1991914857",2,0,0,0,0,0,2,0,0,0,"fake"
"106","2008794634",0,0,0,0,0,0,0,0,0,1,"fake"
"107","2008816604",0,1,0,0,0,0,1,0,0,1,"fake"
"108","2017963430",1,0,0,0,0,0,1,0,0,0,"fake"
"109","2028836146",1,0,2,1,1,1,1,1,1,0,"fake"
"110","2031607983",0,1,0,0,0,0,0,0,0,1,"fake"
"111","2039112329",0,0,0,0,0,0,1,0,0,0,"fake"
"112","2070432920",1,0,0,0,0,0,1,0,0,0,"fake"
"113","2077307903",2,0,0,0,0,1,2,1,1,1,"fake"
"114","2102002058",1,0,0,0,0,0,1,0,0,0,"fake"
"115","2102596364",2,0,0,0,0,0,2,0,2,1,"fake"
"116","2106470497",0,1,1,1,1,0,0,1,0,0,"fake"
"117","2117154103",0,1,0,0,0,0,0,0,0,1,"fake"
"118","2130564117",0,1,1,1,1,0,0,1,0,0,"fake"
"119","2153045829",0,0,0,0,0,0,1,0,0,0,"fake"
"120","2192958392",0,0,1,0,0,0,0,0,0,0,"fake"
"121","2206165119",0,0,1,0,0,0,1,1,0,0,"fake"
"122","2216381030",0,1,2,0,0,0,0,1,0,0,"fake"
"123","2216385216",0,0,1,1,1,0,0,0,0,0,"fake"
"124","2223106033",1,0,1,1,1,1,2,0,1,2,"fake"
"125","2235372920",1,0,1,0,0,0,1,0,0,0,"fake"
"126","2235387711",1,0,0,0,0,1,1,0,1,1,"fake"
"127","2265439817",1,0,0,0,0,0,1,0,1,1,"fake"
"128","2304747686",0,0,0,0,0,0,2,0,1,1,"fake"
"129","2312071476",1,0,0,0,0,0,0,0,0,0,"fake"
"130","2320702005",0,0,1,0,0,0,1,0,0,0,"fake"
"131","2320710207",0,0,1,0,0,0,2,0,0,0,"fake"
"132","2320713210",0,0,1,0,0,0,1,0,0,1,"fake"
"133","2320723080",1,0,0,1,0,1,1,1,1,1,"fake"
"134","2325578989",1,0,0,0,0,0,2,0,1,0,"fake"
"135","2327358764",0,1,1,1,1,0,1,1,0,1,"fake"
"136","2348434644",1,0,0,0,0,1,1,0,1,1,"fake"
"137","2387960099",0,0,0,0,0,0,1,0,0,1,"fake"
"138","2410294525",0,0,1,1,0,0,0,0,0,0,"fake"
"139","2413794712",0,0,2,1,0,0,0,0,0,0,"fake"
"140","2417385045",0,0,0,0,0,0,1,0,0,1,"fake"
"141","2432857672",0,0,0,0,0,0,1,0,0,0,"fake"
"142","2442873490",1,1,0,0,1,0,1,0,1,1,"fake"
"143","2443187684",0,0,0,0,0,0,0,0,0,1,"fake"
"144","2443220244",1,0,0,0,0,0,0,0,0,0,"fake"
"145","2458956706",1,0,3,1,1,0,0,1,0,0,"fake"
"146","2465683255",0,0,0,0,0,0,1,0,0,0,"fake"
"147","2466018786",1,0,0,0,0,2,1,0,1,1,"fake"
"148","2466050199",1,0,1,1,0,0,2,0,1,1,"fake"
"149","2466064876",1,1,0,0,0,0,1,0,1,2,"fake"
"150","2472436033",0,1,1,0,0,0,0,0,0,1,"fake"
"151","2474187923",1,0,0,0,0,0,1,0,0,0,"fake"
"152","2474196119",0,0,1,0,0,1,0,0,0,0,"fake"
"153","2474204771",0,0,3,2,1,0,0,0,0,0,"fake"
"154","2475526888",0,0,1,1,0,0,0,0,0,0,"fake"
"155","2475705571",0,0,1,1,0,0,0,1,0,0,"fake"
"156","2475887917",0,0,0,0,0,0,1,0,0,0,"fake"
"157","2475897334",0,0,0,0,0,0,3,0,0,0,"fake"
"158","2475908374",0,0,0,0,0,0,1,0,0,0,"fake"
"159","2475918482",0,0,0,0,0,0,1,0,0,0,"fake"
"160","2475937248",1,1,2,0,1,1,1,0,0,0,"fake"
"161","2475955775",1,0,0,0,0,0,1,0,0,0,"fake"
"162","2475969104",0,1,2,1,0,0,0,0,0,0,"fake"
"163","2475982298",0,0,1,0,0,0,0,0,0,0,"fake"
"164","2477689577",0,0,2,1,0,0,0,0,0,0,"fake"
"165","2477701968",0,0,1,1,0,1,0,1,0,0,"fake"
"166","2478083303",1,0,2,1,2,1,1,0,1,1,"fake"
"167","2481454417",2,0,0,1,0,0,3,0,1,0,"fake"
"168","2481576632",0,0,0,0,0,0,0,0,0,1,"fake"
"169","2488780090",0,0,0,0,0,0,1,0,0,0,"fake"
"170","2496363674",0,0,0,0,0,0,1,0,0,0,"fake"
"171","2512491155",0,0,1,0,0,0,0,0,0,0,"fake"
"172","2548990878",0,0,1,0,0,0,0,0,0,0,"fake"
"173","2572337712",1,1,0,1,0,0,0,0,0,0,"fake"
"174","2584158920",0,0,0,0,0,0,1,0,0,0,"fake"
"175","2602073973",0,0,0,0,0,0,1,0,1,1,"fake"
"176","2612112724",0,0,0,0,0,0,1,0,0,0,"fake"
"177","2620609893",1,0,0,0,0,0,4,0,1,1,"fake"
"178","2626196779",0,0,0,0,0,0,0,0,0,1,"fake"
"179","2631425732",0,1,1,1,1,0,0,1,0,1,"fake"
"180","2631917851",0,0,1,0,0,0,0,0,0,1,"fake"
"181","2642230654",3,0,2,1,1,1,2,1,2,3,"fake"
"182","2643046080",0,0,0,0,0,0,1,0,0,0,"fake"
"183","2645092917",0,0,0,0,0,0,1,0,0,0,"fake"
"184","2649558137",1,0,0,0,0,1,1,0,1,1,"fake"
"185","2649561187",2,0,0,0,0,0,2,0,0,0,"fake"
"186","2669241823",0,0,1,0,0,0,0,0,0,2,"fake"
"187","2680631067",0,0,0,0,0,0,1,0,0,0,"fake"
"188","2683246362",0,0,0,0,0,0,1,0,0,0,"fake"
"189","2692503533",0,1,1,1,1,0,0,1,0,1,"fake"
"190","2721466426",0,0,1,0,0,0,0,0,0,0,"fake"
"191","2723144652",1,0,0,0,0,0,3,0,1,4,"fake"
"192","2723177718",1,0,0,0,0,0,2,0,0,0,"fake"
"193","2738545905",0,0,0,0,0,0,2,0,0,0,"fake"
"194","2765840216",0,0,2,1,1,1,0,1,0,0,"fake"
"195","2788632356",1,0,1,0,0,0,1,0,0,2,"fake"
"196","2806555844",1,0,0,0,0,0,1,0,0,1,"fake"
"197","2835174423",0,0,0,0,0,0,1,0,0,0,"fake"
"198","2855794013",1,1,2,1,0,0,0,0,0,0,"fake"
"199","2885208289",0,0,0,0,0,0,1,0,0,0,"fake"
"200","2901097595",0,0,1,0,1,0,1,0,0,0,"fake"
"201","2902995822",0,0,0,0,0,1,2,0,1,1,"fake"
"202","2904755844",1,0,1,0,0,0,0,0,0,0,"fake"
"203","2906498156",0,1,1,1,1,0,0,0,0,0,"fake"
"204","2908790918",2,0,0,0,0,0,0,0,0,0,"fake"
"205","2917730270",1,1,1,1,0,1,1,1,1,1,"fake"
"206","2917767056",1,1,1,1,1,1,1,1,1,1,"fake"
"207","2932133296",1,0,1,0,0,0,0,0,0,0,"fake"
"208","2952145662",0,0,1,0,1,0,0,1,0,0,"fake"
"209","2953872123",0,1,3,2,2,0,0,1,0,1,"fake"
"210","3066129384",0,0,0,0,1,0,0,0,0,0,"fake"
"211","3081783064",1,0,0,0,0,0,1,0,1,1,"fake"
"212","3081797302",0,1,0,0,0,0,0,0,0,0,"fake"
"213","3081908315",3,0,0,0,0,0,3,0,3,0,"fake"
"214","3081953823",0,1,1,0,0,0,0,0,0,0,"fake"
"215","3081971132",0,0,1,0,1,0,0,1,0,0,"fake"
"216","3082012758",0,0,0,0,0,1,2,0,2,1,"fake"
"217","3082107700",0,1,1,1,0,0,0,0,0,0,"fake"
"218","3082430414",0,0,0,0,0,0,3,0,3,0,"fake"
"219","3082451802",0,0,1,0,0,0,0,0,0,0,"fake"
"220","3122593842",0,2,2,1,1,0,0,0,0,1,"fake"
"221","3134710593",1,1,2,2,0,0,2,0,2,4,"fake"
"222","3162172263",1,0,1,1,0,0,1,0,0,1,"fake"
"223","3165858423",1,0,1,0,0,1,1,2,1,1,"fake"
"224","3165877153",1,0,1,0,0,0,0,0,0,0,"fake"
"225","3172847854",1,0,0,0,0,0,1,0,1,1,"fake"
"226","3172850837",0,0,1,0,0,0,0,0,0,0,"fake"
"227","3177149291",2,2,2,0,0,1,3,0,2,5,"fake"
"228","3177906801",0,0,1,0,0,0,1,0,1,1,"fake"
"229","3209257549",0,0,1,0,0,0,1,0,0,0,"fake"
"230","3215871287",1,1,0,0,0,0,1,0,1,1,"fake"
"231","3222863106",0,1,0,0,0,0,0,0,0,0,"fake"
"232","3222866292",0,0,0,0,0,0,0,0,0,1,"fake"
"233","3222876482",0,0,1,0,0,0,0,0,0,0,"fake"
"234","3239072404",0,0,0,0,0,0,1,0,0,0,"fake"
"235","3247816957",0,0,0,0,0,0,2,0,0,0,"fake"
"236","3257320617",1,0,1,0,0,1,2,0,1,2,"fake"
"237","3268962375",0,1,1,0,1,0,0,0,0,0,"fake"
"238","3279405244",1,0,0,0,0,2,1,0,1,2,"fake"
"239","3279543540",0,0,1,0,0,1,1,1,1,2,"fake"
"240","3300515117",0,1,0,0,0,0,1,0,0,0,"fake"
"241","3305781067",0,0,0,0,0,0,1,0,1,0,"fake"
"242","3307295534",0,0,1,1,0,0,0,0,0,0,"fake"
"243","3308664144",0,0,1,0,0,0,1,0,1,1,"fake"
"244","3309633111",1,0,0,0,0,1,2,0,2,2,"fake"
"245","3381800256",0,0,0,0,0,1,1,0,1,1,"fake"
"246","3415610258",0,0,1,1,0,0,0,1,0,0,"fake"
"247","3422221345",1,0,0,0,0,0,2,0,1,0,"fake"
"248","3453367776",2,0,1,0,0,0,2,0,0,1,"fake"
"249","3521481248",0,0,1,0,1,0,1,0,1,0,"fake"
"250","3526073037",0,0,1,0,1,0,0,1,0,0,"fake"
"251","3555487584",0,0,0,0,0,1,2,0,1,1,"fake"
"252","3567702428",0,1,1,0,0,0,0,0,0,0,"fake"
"253","3594320907",0,0,0,0,0,0,1,0,0,0,"fake"
"254","3595791488",0,0,0,0,0,0,4,0,3,2,"fake"
"255","3663747712",2,0,0,0,0,0,1,0,1,0,"fake"
"256","3671316286",0,1,1,0,1,0,0,1,0,1,"fake"
"257","3677013134",1,0,0,0,0,0,1,0,0,0,"fake"
"258","3677035623",0,0,1,0,0,0,1,0,1,1,"fake"
"259","3804095690",0,0,1,0,0,0,0,0,0,0,"fake"
"260","3862555380",1,0,1,0,0,1,2,1,1,1,"fake"
"261","3864208492",0,0,0,0,0,0,2,0,0,0,"fake"
"262","3864320010",1,0,0,0,0,0,1,0,1,0,"fake"
"263","3864327928",0,0,0,0,0,0,1,0,0,0,"fake"
"264","3864397453",0,1,1,1,0,0,0,0,0,0,"fake"
"265","3864454183",1,0,1,0,0,0,1,1,0,0,"fake"
"266","3864461360",1,0,1,0,0,0,1,1,0,0,"fake"
"267","3864538724",0,0,1,0,0,0,0,0,0,1,"fake"
"268","3864547945",0,0,1,1,1,0,0,0,0,0,"fake"
"269","3864553728",1,1,4,3,1,0,1,2,0,0,"fake"
"270","3864754141",1,0,0,0,0,0,2,0,0,0,"fake"
"271","3864804416",1,0,0,1,0,2,2,1,2,2,"fake"
