"id","trust","fear","negative","sadness","anger","surprise","positive","disgust","joy","anticipation","realFAKEcat"
"30027","269323754172215296",1,0,0,0,0,0,1,0,0,0,"fake"
"22610","256001294005841920",0,0,0,0,0,0,1,0,1,0,"fake"
"58488","335155784008736768",2,0,0,0,0,0,2,0,2,2,"fake"
"50595","316309724830240768",0,1,1,1,1,1,1,1,1,2,"fake"
"31975","274722890325315584",0,0,1,0,0,0,0,0,0,0,"fake"
"55988","326669798022991872",0,0,0,0,0,0,1,0,1,0,"fake"
"2896","26186295797620736",0,1,1,1,1,0,0,1,0,0,"fake"
"46370","310622049401966592",1,0,1,0,0,0,1,0,1,0,"fake"
"56461","327823851423674368",0,0,1,0,1,0,1,1,1,1,"fake"
"37982","297393178548523008",0,0,0,0,0,0,1,0,0,0,"fake"
"19384","242925162905890816",0,1,2,2,2,1,1,2,1,0,"fake"
"6606","96527461554204672",0,1,1,1,0,0,0,0,0,0,"fake"
"17240","228530440414314496",0,0,1,0,1,0,0,0,0,0,"fake"
"7421","109597928204681216",0,1,1,0,1,0,0,0,0,1,"fake"
"40380","302181177429737472",0,0,0,0,0,0,1,0,0,0,"fake"
"7890","117639907001905152",1,0,0,0,0,0,1,0,0,0,"fake"
"53434","321664156409417728",0,0,1,0,0,0,0,0,0,0,"fake"
"52256","319298331316715520",2,0,0,0,0,0,6,0,4,3,"fake"
"30340","270366991074869248",0,1,1,0,0,0,1,0,0,0,"fake"
"23290","256762387061956608",0,0,0,0,0,0,1,0,1,0,"fake"
"58135","334577572845330432",0,1,1,1,1,1,0,0,0,0,"fake"
"36110","293694379988762624",0,0,1,1,0,0,0,0,0,0,"fake"
"19923","246268519036092416",0,0,0,0,0,0,1,0,0,0,"fake"
"11499","182474640705327104",1,0,0,0,0,0,1,0,0,0,"fake"
"56406","327597162944937984",0,0,0,0,0,0,1,0,0,0,"fake"
"18696","239077389651542016",0,2,2,1,2,0,0,1,0,0,"fake"
"41348","303653798931488768",1,0,0,0,0,0,1,1,0,0,"fake"
"4574","57189491533824000",0,0,2,0,1,0,0,1,0,0,"fake"
"14392","218343805349396480",0,1,1,0,0,0,0,0,0,0,"fake"
"16404","224598591874936832",1,0,0,0,0,0,1,0,0,0,"fake"
"34792","283740659263873024",0,0,1,1,0,0,0,0,0,0,"fake"
"50818","316702207003222016",0,0,0,0,0,0,1,0,0,0,"fake"
"18982","240500848411697152",0,1,0,1,0,1,2,0,1,2,"fake"
"37871","297339572239622144",0,0,0,0,0,0,1,0,1,0,"fake"
"10909","170777078709493760",0,0,0,0,0,0,0,0,0,1,"fake"
"8479","128505966860836864",1,0,0,0,0,1,2,0,2,2,"fake"
"15114","220565964171907072",0,0,0,0,0,0,0,0,0,1,"fake"
"10747","168389948096004096",0,0,1,0,0,0,0,0,0,0,"fake"
"47565","312072796970831872",1,0,0,0,0,0,0,0,0,0,"fake"
"47983","312480552370446336",1,0,0,0,1,2,2,0,2,2,"fake"
"33638","279936688501956608",1,0,0,0,0,0,1,0,1,1,"fake"
"39062","299123436444336128",1,0,0,0,0,0,1,0,1,0,"fake"
"28692","266608906476863488",1,0,0,0,0,0,0,0,0,0,"fake"
"11623","184757780417220608",1,0,0,0,0,0,2,0,0,0,"fake"
"17271","228881472193437696",0,0,1,0,0,0,1,0,0,0,"fake"
"25639","260417298295320576",0,0,1,0,0,0,0,0,0,0,"fake"
"17117","227750820370841600",0,1,1,0,0,0,1,0,0,0,"fake"
"37866","297337178017648640",1,0,0,0,0,0,1,0,0,0,"fake"
"34754","283701066225295360",0,0,0,0,1,0,0,0,0,0,"fake"
"15042","220348900941365248",2,0,0,0,0,0,2,0,1,1,"fake"
"8600","130299316874133504",0,1,1,1,1,0,0,0,0,0,"fake"
"38511","298404302140104704",2,0,0,0,0,0,0,0,0,0,"fake"
"14845","219693892516331520",0,0,0,0,0,0,1,0,1,0,"fake"
"53178","321025250974384128",0,0,0,0,0,0,0,0,0,1,"fake"
"30734","271682612886654976",1,0,0,0,0,0,0,0,0,0,"fake"
"38538","298445039904911360",2,0,0,0,0,0,1,0,1,1,"fake"
"25408","260114413879689216",0,1,1,0,1,0,0,1,0,0,"fake"
"3871","46604738489356288",0,0,0,0,0,0,1,0,0,0,"fake"
"35010","284870293250535424",1,0,0,0,0,0,0,0,0,0,"fake"
"35239","288174971711283200",0,0,1,1,0,0,0,0,0,0,"fake"
"10096","158547496803647488",0,2,2,1,1,1,0,0,0,0,"fake"
"14934","219932154484891648",2,0,0,0,0,1,2,0,1,1,"fake"
"2892","26089520864690176",0,0,0,0,0,1,1,0,1,1,"fake"
"51527","318013914325590016",0,0,2,0,0,0,0,1,0,0,"fake"
"41020","303093828045393920",0,0,1,0,0,0,0,0,0,0,"fake"
"34295","283154346164756480",1,3,3,0,3,0,0,3,0,0,"fake"
"35240","288186767939608576",1,2,2,1,1,0,0,0,0,1,"fake"
"9391","144782616946683904",0,0,1,0,0,0,0,1,0,0,"fake"
"25823","260704335451803648",1,1,1,1,0,1,0,0,0,0,"fake"
"36738","296642630958338048",0,0,0,0,0,0,1,0,1,1,"fake"
"51004","317173437921644544",0,0,0,0,0,0,2,0,2,0,"fake"
"5654","76509304206794752",0,0,0,0,0,0,2,0,1,0,"fake"
"49801","315113495685390336",1,0,0,0,0,0,2,0,2,0,"fake"
"38918","298970630030757888",0,0,1,0,0,0,0,0,0,0,"fake"
"46831","311093938180222976",0,0,2,0,0,0,1,1,0,0,"fake"
"45433","309086070153310208",1,0,0,0,0,1,1,0,1,1,"fake"
"34450","283511527498194944",0,1,1,0,0,0,0,0,0,1,"fake"
"11210","176678169154297856",1,1,1,1,1,1,1,1,1,1,"fake"
"54639","324171423776137216",0,0,0,0,0,0,1,0,0,0,"fake"
"4813","59728599061766144",1,1,0,0,0,0,1,0,1,1,"fake"
"28581","266467735268098048",1,2,2,2,1,0,0,1,0,0,"fake"
"17970","234068828726886400",2,0,1,0,0,0,2,1,0,0,"fake"
"43979","306510061528817664",1,0,0,0,0,0,3,0,3,1,"fake"
"10124","159058793441918976",0,0,0,0,0,1,1,0,1,1,"fake"
"50934","317011295499087872",0,0,2,1,1,0,1,1,0,0,"fake"
"18410","237780019760488448",0,1,1,1,0,0,2,0,0,1,"fake"
"5632","76146326982754304",1,0,0,0,0,1,1,0,1,1,"fake"
"41109","303139150687780864",0,1,0,0,1,1,1,0,1,1,"fake"
"16312","224323670473048064",0,0,1,0,0,0,0,1,0,0,"fake"
"751","7047805017",0,1,2,0,0,0,1,1,0,0,"fake"
"39991","300868323946680320",0,1,1,0,0,0,1,0,0,0,"fake"
"37574","297113012823814144",0,1,1,1,1,0,0,0,0,0,"fake"
"5680","77403464543645696",2,1,1,0,1,1,2,1,1,0,"fake"
"45016","308326293957668864",0,0,0,0,0,0,2,0,0,0,"fake"
"30588","271067640158621696",0,0,1,0,0,0,1,0,1,0,"fake"
"29512","268308232064339968",0,2,2,2,2,1,0,2,0,0,"fake"
"51586","318099009136889856",1,1,0,0,0,0,2,0,2,1,"fake"
"28946","266933679639654400",0,0,1,0,1,0,0,1,0,0,"fake"
"22045","253871444948316160",0,1,0,0,0,0,1,0,0,0,"fake"
"47094","311458469083508736",2,0,0,1,0,1,2,1,2,3,"fake"
"33000","277693786149232640",1,1,2,1,1,0,1,0,0,1,"fake"
"25440","260157486575796224",1,0,0,0,0,0,2,0,2,1,"fake"
"17678","232467176542584832",2,1,0,0,0,1,2,1,2,1,"fake"
"24753","258787911674257408",1,0,0,0,0,1,1,0,1,1,"fake"
"7562","112154285248221184",1,0,0,1,0,1,1,0,1,1,"fake"
"17610","232050716431224832",1,0,0,0,0,0,2,0,1,0,"fake"
"5588","75292281204248576",0,0,0,0,0,1,0,0,0,1,"fake"
"35274","288748420057931776",0,0,1,1,0,0,0,0,0,0,"fake"
"41872","304414805341655040",0,0,0,0,0,0,2,0,0,0,"fake"
"55544","325669565763813376",1,0,0,0,0,0,1,0,0,1,"fake"
"22709","256019647969775616",0,0,0,0,0,0,1,0,0,0,"fake"
"16256","224061416699736064",0,0,0,0,0,0,1,0,0,0,"fake"
"57187","329957080503042048",2,0,0,0,0,0,1,0,1,0,"fake"
"47159","311520945263226880",0,0,0,0,0,0,1,0,1,1,"fake"
"40763","302544991039922176",0,0,0,0,0,0,2,0,0,1,"fake"
"9980","156806512923262976",0,0,0,0,0,0,1,0,1,1,"fake"
"37634","297159504909434880",0,0,0,0,0,0,0,0,0,1,"fake"
"31067","272434110759325696",0,1,2,1,1,0,0,1,0,1,"fake"
"42557","305016492896960512",1,0,0,0,0,0,0,0,0,0,"fake"
"6433","94064087415271424",1,0,1,0,2,1,1,0,1,1,"fake"
"42450","304946656678400000",1,0,0,0,0,0,2,0,2,1,"fake"
"3950","47342722440368128",1,0,0,0,0,0,1,0,0,0,"fake"
"54457","323692912573562880",1,0,0,0,0,0,1,0,0,0,"fake"
"16254","224043491318185984",0,0,1,0,1,0,0,0,0,1,"fake"
"34422","283478306001670144",1,0,0,0,0,0,0,0,0,0,"fake"
"168","2481576632",0,0,0,0,0,0,0,0,0,1,"fake"
"23962","257735637132791808",1,2,0,0,1,1,4,0,1,2,"fake"
"39356","299356917778755584",0,0,0,0,0,0,1,0,1,0,"fake"
"39446","299424123136929792",3,0,1,1,0,0,3,0,2,2,"fake"
"15848","222876643629342720",0,1,1,1,1,0,0,0,0,0,"fake"
"30279","270084248134897664",2,0,0,0,0,0,0,0,0,0,"fake"
"20615","249282490320166912",0,0,1,0,0,0,0,0,0,0,"fake"
"24803","258875232885018624",1,0,0,0,0,4,4,0,4,3,"fake"
"15","1273331935",0,0,0,0,0,0,1,0,0,0,"fake"
"17345","229600493893201920",0,1,1,1,1,0,0,1,0,0,"fake"
"1281","14674427894",0,0,0,0,0,0,1,0,1,0,"fake"
"27783","264626790910271488",1,0,0,0,0,0,1,0,0,0,"fake"
"8417","127506035069026304",0,0,1,0,0,0,2,0,1,0,"fake"
"16377","224514741526208512",0,0,1,0,0,0,1,0,0,0,"fake"
"35997","291936660428566528",1,0,0,0,0,0,2,0,1,1,"fake"
"46935","311238453121646592",0,0,0,0,0,0,2,0,0,0,"fake"
"13841","217177438927593472",0,1,1,1,1,0,0,1,0,0,"fake"
"23082","256558605166321664",0,0,0,0,0,0,2,0,0,0,"fake"
"43790","306296488802275328",0,0,0,0,0,0,1,0,1,0,"fake"
"35515","289466724804354048",0,0,0,0,0,0,1,0,0,0,"fake"
"16664","226020368555593728",1,0,0,0,0,0,3,0,2,0,"fake"
"54898","324547352855711744",0,0,4,0,0,0,0,0,0,0,"fake"
"9462","146337662062694400",0,0,0,0,0,0,1,0,0,0,"fake"
"33895","281352922577657856",0,0,1,0,0,0,0,0,0,0,"fake"
"57708","332589013770850304",0,0,0,0,0,0,3,0,0,0,"fake"
"32870","277484856827596800",0,0,1,0,0,0,0,0,0,0,"fake"
"47103","311471429826772992",0,0,1,0,1,0,0,0,0,0,"fake"
"55435","325248873952051200",1,1,1,0,0,0,1,0,0,0,"fake"
"55601","325675328712364032",0,0,0,0,0,0,1,0,1,1,"fake"
"40257","301657797634961408",0,0,1,0,0,1,1,0,1,1,"fake"
"47071","311434546665111552",0,0,0,0,0,0,1,0,0,0,"fake"
"17399","230269843964833792",1,0,0,0,0,1,1,0,1,1,"fake"
"25332","260111695438036992",0,0,0,1,0,0,0,0,0,0,"fake"
"23854","257600097158840320",0,0,0,0,0,0,1,0,1,0,"fake"
"17382","230125042019749888",0,0,0,0,0,0,1,0,1,1,"fake"
"58094","334555295340695552",0,0,0,0,0,0,1,0,1,0,"fake"
"25142","259580463033765888",0,0,0,0,0,1,1,0,0,0,"fake"
"4390","53600182377512960",2,1,1,1,1,1,1,1,1,2,"fake"
"49194","314350229216436224",1,0,0,0,0,0,0,0,0,0,"fake"
"50530","316262483423801344",0,0,0,0,0,0,1,0,0,0,"fake"
"54114","323145243396542464",1,3,3,2,0,0,1,1,0,1,"fake"
"40166","301385075688353792",1,0,0,0,0,0,3,0,2,1,"fake"
"46026","310204877106204672",0,0,0,1,0,0,1,0,1,0,"fake"
"37191","296764813357506560",0,0,1,0,0,0,0,0,0,1,"fake"
"37840","297282773293596672",1,0,1,0,1,1,1,0,1,1,"fake"
"24615","258599779737686016",1,1,0,0,0,0,0,0,0,0,"fake"
"8284","124632130457309184",0,0,0,0,0,0,1,0,1,0,"fake"
"43920","306498496494727168",0,0,0,0,1,0,0,0,0,0,"fake"
"31607","273836497965285376",0,1,0,0,0,0,0,0,0,0,"fake"
"21028","250543326934228992",0,0,0,0,0,0,1,0,0,0,"fake"
"36049","292728985119494144",1,1,2,1,0,0,2,1,1,0,"fake"
"41096","303137737878409216",0,0,0,0,0,0,2,0,1,0,"fake"
"19313","242512858036969472",0,0,0,0,0,0,1,0,1,0,"fake"
"9808","154448020350574592",1,0,0,0,0,0,1,0,1,0,"fake"
"1415","17869662885",0,0,0,0,0,0,1,0,1,1,"fake"
"37693","297200958507728896",1,0,1,0,1,0,1,1,0,0,"fake"
"3714","45202742964269056",0,0,0,0,0,0,1,0,1,0,"fake"
"13382","216011147424444416",0,0,1,0,1,0,1,0,0,0,"fake"
"37346","296807398004359168",1,0,0,0,0,1,1,0,1,2,"fake"
"44173","306876883855867904",1,0,0,0,0,0,1,0,0,0,"fake"
"19818","245834299394367488",1,0,0,0,1,1,1,0,1,1,"fake"
"4350","52543830808985600",0,1,1,1,1,0,0,1,0,0,"fake"
"28263","266037273362042880",0,0,0,0,0,1,1,0,1,0,"fake"
"30973","272222788067147776",0,0,0,0,0,0,0,0,0,1,"fake"
"52086","319069069909319680",1,3,1,0,1,1,1,1,1,2,"fake"
"49025","314141330001518592",0,1,1,1,1,1,1,0,0,1,"fake"
"27407","262895070762647552",0,0,2,0,0,0,1,0,0,0,"fake"
"44789","307874180559429632",0,1,1,1,1,0,0,1,0,0,"fake"
"31598","273800743570530304",0,0,1,0,1,0,0,1,0,0,"fake"
"52008","319007022601338880",0,0,1,0,0,0,0,0,0,0,"fake"
"651","6325702693",1,0,0,0,0,1,1,0,1,1,"fake"
"22253","255013815459139584",0,0,0,0,1,0,0,0,0,0,"fake"
"41792","304300272082100224",0,0,0,0,0,1,1,0,0,0,"fake"
"25821","260704230183149568",0,0,0,0,0,0,1,0,0,0,"fake"
"23157","256674498122768384",0,0,0,0,0,1,0,0,0,0,"fake"
"11736","186301309983526912",0,0,0,1,0,0,1,0,1,0,"fake"
"1539","20051240128",1,0,0,0,0,0,1,0,0,0,"fake"
"46383","310634416236007424",1,0,1,0,0,0,1,0,1,0,"fake"
"26975","262209080884621312",2,0,2,0,1,0,2,0,0,0,"fake"
"54166","323274552799014912",1,0,0,0,0,1,1,0,1,0,"fake"
"28952","266945753379917824",3,1,0,0,0,0,3,0,1,1,"fake"
"545","5612784470",0,1,1,1,0,0,0,0,0,0,"fake"
"44863","308038929137942528",2,1,2,1,1,2,2,0,1,1,"fake"
"11259","177522258351357952",0,1,1,1,0,0,0,0,0,0,"fake"
"52562","319777477679521792",1,0,0,0,0,1,2,0,1,1,"fake"
"7628","113315400120406016",1,0,1,0,0,0,1,0,0,0,"fake"
"47311","311703459546140672",2,0,0,0,0,0,1,0,0,1,"fake"
"29441","268001063834112000",1,0,0,0,0,0,0,0,0,0,"fake"
"45828","309807312699260928",0,1,0,0,0,0,1,0,0,0,"fake"
"7347","108586728633270272",0,0,0,0,0,0,1,0,1,0,"fake"
"24154","257902774015102976",0,0,0,0,0,0,1,0,0,0,"fake"
"17109","227732780358971392",0,0,0,0,0,0,0,0,0,1,"fake"
"47349","311787915778854912",2,2,0,0,0,0,3,0,3,2,"fake"
"6023","84480592690954240",0,0,1,0,0,0,0,0,0,0,"fake"
"6045","85150601465430016",1,0,1,0,1,1,1,1,1,1,"fake"
"17424","230447608655650816",1,3,3,3,3,0,1,2,1,3,"fake"
"28438","266246503260106752",1,0,0,0,0,0,3,0,2,0,"fake"
"21240","251409848128901120",0,1,2,2,1,0,0,0,0,0,"fake"
"9439","145862652722290688",0,1,0,0,0,0,1,0,0,1,"fake"
"48715","313864226135502848",1,2,1,0,0,1,1,0,1,2,"fake"
"35581","289640297267335168",0,1,2,1,1,0,0,1,0,0,"fake"
"48950","314081918360641536",0,0,0,0,0,0,1,0,1,0,"fake"
"47246","311650605036883968",1,1,0,0,0,1,1,0,1,1,"fake"
"1363","16776552299",1,0,0,0,0,0,2,0,2,1,"fake"
"3919","47177822409736192",1,1,2,1,2,0,1,0,1,1,"fake"
"22925","256227868642779136",0,0,1,0,1,0,0,0,0,0,"fake"
"17917","233806032181280768",0,1,3,1,2,1,0,1,0,1,"fake"
"22600","255988248533409792",1,0,0,0,0,0,1,0,0,0,"fake"
"37254","296782609592233984",0,1,0,0,0,0,0,0,0,1,"fake"
"13040","212747457501736960",0,1,0,0,0,0,1,0,0,1,"fake"
"4586","57552821104541696",1,0,0,0,0,0,2,0,1,1,"fake"
"54187","323332358658981888",1,0,0,0,0,0,1,0,1,0,"fake"
"52037","319013911380770816",0,0,0,0,0,0,1,0,0,0,"fake"
"56149","326988499226071040",1,1,1,1,2,1,0,1,0,0,"fake"
"43259","305708594962247680",3,1,2,1,1,0,4,0,4,1,"fake"
"17322","229402980988878848",0,0,0,0,0,0,1,0,1,0,"fake"
"46912","311202457546027008",0,0,0,0,0,0,2,0,0,0,"fake"
"37193","296764849243975680",3,0,0,1,0,2,4,0,3,3,"fake"
"36211","294874418457493504",0,1,1,1,0,0,0,0,0,0,"fake"
"41693","304163001190211584",1,1,1,0,1,0,0,0,0,0,"fake"
"40976","302940186143256576",0,1,1,0,1,0,0,0,0,0,"fake"
"29047","267126104815448064",1,0,0,0,0,0,0,0,0,1,"fake"
"34777","283711574374490112",0,0,0,1,0,1,3,0,1,1,"fake"
"35553","289550791579140096",1,0,0,0,0,0,1,0,1,1,"fake"
"6422","93867270891257856",0,0,0,0,0,0,1,0,0,0,"fake"
"15921","223058620865200128",0,0,0,0,0,1,1,0,1,1,"fake"
"5554","74792473750282240",1,0,1,1,1,1,1,1,1,1,"fake"
"50862","316868159896440832",0,0,0,0,0,0,2,0,0,0,"fake"
"14444","218483809262387200",1,0,0,0,0,0,1,0,1,1,"fake"
"19597","244353354166312960",1,1,2,1,1,1,1,1,1,1,"fake"
"28067","265577859995807744",0,1,1,1,1,0,0,1,0,1,"fake"
"45857","309893006754979840",1,0,0,0,0,0,0,0,0,1,"fake"
"26017","260972542297272320",1,0,0,0,0,0,1,0,0,0,"fake"
"6952","101810302500339712",0,1,1,1,1,0,0,1,0,0,"fake"
"47454","311871971937894400",0,0,0,0,0,0,2,0,1,0,"fake"
"16093","223468858227425280",0,0,0,0,0,0,1,0,0,0,"fake"
"13310","215292632941862912",2,0,0,0,0,0,3,0,2,1,"fake"
"6435","94072376337244160",0,0,0,0,0,0,0,0,0,1,"fake"
"14961","220019696743874560",1,0,0,0,0,1,2,0,2,2,"fake"
"51988","319001936999350272",0,1,1,0,1,0,0,1,0,0,"fake"
"39339","299340344078786560",0,1,1,1,1,1,1,1,0,1,"fake"
"4949","62525492770783232",2,0,0,0,0,3,3,0,3,1,"fake"
"23074","256535713363947520",0,1,1,1,1,0,0,0,0,0,"fake"
"34005","281799918006456320",2,0,0,0,0,0,1,0,1,0,"fake"
"55196","324906833099755520",1,1,1,1,1,0,1,0,0,0,"fake"
"40266","301661752557453312",0,1,0,0,0,0,0,0,0,0,"fake"
"37283","296795755274960896",1,1,1,1,1,1,1,1,1,0,"fake"
"31643","273922389321056256",0,1,1,0,0,0,0,0,0,0,"fake"
"19894","246192126898102272",0,0,0,0,0,0,3,0,0,0,"fake"
"24071","257810366153760768",2,0,0,0,0,0,3,0,2,1,"fake"
"8410","127251609993478144",0,1,1,1,1,0,0,1,0,0,"fake"
"20622","249307425692336128",0,0,0,0,0,0,1,0,0,0,"fake"
"2497","11604456512684032",0,1,1,1,1,0,0,1,0,0,"fake"
"23519","257160770792611840",0,1,0,0,0,0,1,0,0,0,"fake"
"8016","119906719143968768",0,0,0,0,0,0,1,0,1,0,"fake"
"54069","323025124569804800",1,1,1,0,1,0,1,0,0,0,"fake"
"36076","293222538857811968",2,0,2,1,1,1,2,0,1,1,"fake"
"22859","256158870492303360",0,0,0,0,0,0,1,0,1,0,"fake"
"52370","319543374434668544",1,0,0,0,0,0,0,0,0,0,"fake"
"36544","296304921937072128",2,1,0,0,0,1,2,0,1,0,"fake"
"58657","335205298291757056",0,0,0,0,0,0,1,0,0,0,"fake"
"30696","271541539740725248",1,0,2,0,2,0,1,2,1,1,"fake"
"6538","95361366180888576",2,0,0,0,0,0,2,0,2,2,"fake"
"32740","277438012055515136",1,0,0,0,0,1,1,0,1,1,"fake"
"17883","233541913528111104",1,0,2,0,0,0,1,0,0,0,"fake"
"41304","303528147738058752",0,0,2,1,0,1,1,1,0,0,"fake"
"11365","179570091485179904",0,0,0,0,0,0,0,0,0,1,"fake"
"46615","310825738934824960",1,0,0,0,0,0,2,0,1,1,"fake"
"7280","107771673062817792",0,0,1,0,1,1,1,1,0,0,"fake"
"29485","268194671249989632",0,0,0,0,0,0,0,0,0,1,"fake"
"17961","234067688983519232",0,0,0,0,1,0,0,0,0,0,"fake"
"20799","249728216946855936",0,0,1,1,0,0,0,0,0,0,"fake"
"20962","250319310441050112",0,1,2,1,1,0,0,1,0,0,"fake"
"46145","310340218983174144",1,1,1,1,1,0,1,0,1,0,"fake"
"56669","328159760073494528",0,0,1,0,0,0,0,0,0,0,"fake"
"11592","184039890961444864",0,1,0,0,0,0,0,0,0,0,"fake"
"16176","223785148162916352",1,0,0,0,0,0,1,0,1,1,"fake"
"39306","299310996852469760",2,1,1,0,0,0,3,0,1,1,"fake"
"53396","321652666365255680",1,1,1,1,1,1,1,1,1,1,"fake"
"14950","219989683462090752",2,0,0,0,0,0,3,0,1,0,"fake"
"9804","154407827908206592",0,0,0,0,0,0,1,0,0,0,"fake"
"32921","277540617163255808",1,0,0,0,0,1,1,0,1,1,"fake"
"19907","246219829143560192",0,0,1,0,0,0,1,0,0,0,"fake"
"51283","317418375393456128",2,1,0,0,0,0,1,0,0,0,"fake"
"55020","324755963053735936",1,0,0,0,0,0,1,0,0,0,"fake"
"30525","271047695056109568",0,0,0,0,0,0,0,0,0,1,"fake"
"8223","123205751282999296",0,0,0,0,0,0,1,0,0,0,"fake"
"18226","236570520164921344",0,2,3,2,3,1,0,2,0,0,"fake"
"19782","245553522639241216",1,0,0,0,0,0,2,0,0,0,"fake"
"21641","252229354464092160",0,0,1,0,0,0,0,0,0,0,"fake"
"47529","312032227749920768",3,0,0,0,0,0,3,0,2,2,"fake"
"55264","3.24935694827e+17",1,1,1,1,1,0,1,0,0,0,"fake"
"18198","236492487311638528",2,0,0,0,1,2,3,0,2,2,"fake"
"22358","255349195588919296",0,0,0,0,0,0,1,0,1,0,"fake"
"2027","27116359769",2,0,0,0,0,1,1,0,1,1,"fake"
"53528","321881088630861824",0,0,0,0,0,0,1,0,0,0,"fake"
"4923","61847389627097088",0,0,0,0,0,0,1,0,1,0,"fake"
"12717","207248446627905536",0,0,0,0,0,0,1,0,0,0,"fake"
"55426","325248151122489344",0,1,2,2,1,1,1,0,0,0,"fake"
"18200","236527212587806720",0,0,0,0,0,1,1,0,1,1,"fake"
"17551","231803933436284928",0,0,0,0,0,0,1,0,0,0,"fake"
"25495","260242160148963328",1,0,0,0,0,0,1,0,1,1,"fake"
"44812","307896561084547072",1,0,1,0,0,0,1,0,1,0,"fake"
"6852","100501529835999232",0,1,1,0,0,0,0,1,0,0,"fake"
"12639","205764252768808960",2,0,0,0,0,0,2,0,0,1,"fake"
"29366","267732414829322240",1,0,0,0,0,0,2,0,2,1,"fake"
"23608","257238232809500672",1,0,0,0,0,0,1,0,0,1,"fake"
"8581","129799913776226304",2,0,0,0,0,1,3,0,1,1,"fake"
"7455","110135020382978048",1,0,0,0,0,0,0,0,0,0,"fake"
"43927","306499047722725376",1,0,1,0,0,0,3,0,1,1,"fake"
"17547","231779044264386560",0,2,1,1,1,0,0,0,0,0,"fake"
"10839","169660421320622080",0,1,1,1,0,0,1,0,0,0,"fake"
"15976","223176025167765504",0,0,0,1,0,0,1,0,1,0,"fake"
"15348","221340301820837888",0,1,1,0,1,0,0,0,0,0,"fake"
"55445","325250709597589504",0,0,1,0,0,0,0,0,0,0,"fake"
"23046","256437102810640384",2,0,0,0,0,0,1,0,1,1,"fake"
"25625","260398824823083008",0,0,0,0,0,0,1,0,1,0,"fake"
"30274","270028508946919424",0,0,0,0,0,0,2,0,1,1,"fake"
"12631","205518698105155584",0,0,0,0,0,0,1,0,0,0,"fake"
"18229","236587773040136192",1,0,3,1,1,0,0,1,0,0,"fake"
"37691","297200652805873664",1,0,0,0,0,0,1,0,1,1,"fake"
"58140","334580284995555328",2,0,0,0,0,0,0,0,0,0,"fake"
"38533","298444868588535808",2,0,0,0,0,0,1,0,1,1,"fake"
"11391","180017475205873664",1,0,0,0,0,0,1,0,1,1,"fake"
"16410","224639395733577728",0,0,1,0,0,0,0,0,0,0,"fake"
"52281","319341402460925952",0,1,2,1,0,0,0,0,0,2,"fake"
"33195","278229259112304640",0,0,0,0,0,0,1,0,0,0,"fake"
"40128","301271349605826560",0,0,0,0,0,0,0,0,0,2,"fake"
"8500","128802442979713024",0,1,0,0,0,0,1,0,0,0,"fake"
"24525","258456472625750016",1,0,1,0,0,0,1,0,0,0,"fake"
"22281","255154079364444160",1,1,0,0,0,0,1,0,0,0,"fake"
"22794","256128550728527872",0,0,1,0,1,0,0,1,0,0,"fake"
"26602","261769931668979712",0,0,1,0,0,1,1,0,0,0,"fake"
"28160","265838028205989888",0,1,1,1,1,0,0,1,0,0,"fake"
"14458","218532289318105088",1,0,0,0,0,0,2,0,1,0,"fake"
"11518","182675290391183360",1,0,0,0,0,0,1,0,1,1,"fake"
"27971","265268945794256896",1,2,3,3,1,2,1,3,1,1,"fake"
"54641","324173898885242880",1,0,0,0,0,0,2,0,2,1,"fake"
