"id","trust","fear","negative","sadness","anger","surprise","positive","disgust","joy","anticipation","realFAKEcat"
"208999","412600657011421184",1,0,0,0,0,0,1,0,1,0,"real"
"575831","522362313546817536",0,1,1,1,1,0,0,1,0,0,"real"
"23940","187191215006023680",2,0,0,0,0,1,3,0,3,3,"real"
"75343","291755088953896960",0,0,1,0,0,0,0,0,0,0,"real"
"359455","471819637097631744",1,0,0,0,0,0,0,0,0,0,"real"
"355731","470668326037774337",1,0,0,0,0,0,1,0,1,0,"real"
"524756","512730216716705792",0,1,1,1,1,1,0,0,0,0,"real"
"412660","486861473935663105",0,2,2,1,1,0,1,1,0,0,"real"
"639616","533890758328070144",1,0,0,0,0,0,1,0,1,1,"real"
"1060108","576792310622609409",0,0,1,1,0,0,0,0,0,0,"real"
"494900","506977619984666624",0,0,0,1,0,0,1,0,0,2,"real"
"1314463","588681425328541696",0,0,1,1,0,0,0,0,0,0,"real"
"806811","556872460289593345",0,2,2,1,1,1,1,1,0,0,"real"
"80154","298609415773380609",1,0,1,1,0,0,3,0,1,2,"real"
"664271","537819864237633536",0,1,1,0,1,0,0,0,0,1,"real"
"1110354","579699680516435968",0,0,0,0,0,0,1,0,0,0,"real"
"260265","436882139607343104",2,0,0,0,0,0,0,0,0,0,"real"
"1152167","581659667698298882",0,0,0,0,0,0,1,0,0,0,"real"
"1252706","586204081561202689",0,0,0,0,0,0,1,0,1,1,"real"
"171140","387588300099170304",0,0,1,0,0,0,1,0,0,0,"real"
"1482987","82988206903148544",0,0,1,0,0,0,1,1,0,0,"real"
"849325","561232439213707264",0,0,0,0,0,0,1,0,1,0,"real"
"748350","549963672337276931",1,0,0,0,0,0,1,0,1,1,"real"
"1096324","578890519213916160",1,0,0,0,0,0,2,0,0,0,"real"
"642664","534444297467076608",1,0,0,0,1,1,3,0,1,1,"real"
"1202042","583937123465633792",0,0,0,0,0,0,1,0,1,0,"real"
"965985","570668122241433602",0,0,0,0,0,0,3,0,1,0,"real"
"955265","569935326598156288",0,0,1,1,0,0,0,1,0,0,"real"
"918425","567091630046707712",0,1,1,0,0,0,1,0,0,0,"real"
"502833","508722737238405120",0,0,1,0,0,0,0,0,0,0,"real"
"1432001","592795233794060289",1,1,0,0,0,0,3,0,0,1,"real"
"1200246","583835767966863360",1,0,1,0,0,0,1,0,1,0,"real"
"83179","302506416726503425",0,0,0,0,0,0,1,0,1,2,"real"
"1317205","588776500997935104",1,0,1,0,1,0,1,0,0,0,"real"
"1013662","573716102355681280",0,0,1,0,0,0,0,1,0,0,"real"
"275502","443293857426337792",2,1,1,3,2,2,3,1,2,2,"real"
"1139493","581066772654137344",1,0,1,0,0,0,2,0,0,0,"real"
"1451397","593288631290204162",1,0,0,0,0,0,1,0,1,1,"real"
"1343307","589805179425390593",1,1,0,0,0,0,1,0,0,0,"real"
"127629","350770641256996864",0,0,1,0,0,1,0,0,0,1,"real"
"1429956","592737936032018433",0,1,0,0,0,0,0,0,0,0,"real"
"121647","345311503542517760",0,0,1,0,0,0,0,0,0,0,"real"
"582717","523575194569699328",1,1,1,0,1,2,1,1,1,1,"real"
"563202","519890096141516800",2,0,0,0,0,1,3,0,1,1,"real"
"411042","486499635863629824",0,0,1,0,0,0,0,0,0,0,"real"
"1115368","579932018424684544",0,0,1,1,0,0,0,0,0,0,"real"
"1320705","588882997903953920",2,0,0,0,0,2,3,0,3,3,"real"
"1252666","586202412341268480",0,0,0,0,0,0,0,0,0,1,"real"
"754958","550713786781286401",1,0,1,1,1,1,1,0,1,1,"real"
"914264","566718918585487361",1,0,0,0,0,0,1,0,1,0,"real"
"1331517","589302008856780801",1,0,0,0,0,0,0,0,0,0,"real"
"396397","482335853000155136",0,0,1,0,1,0,0,1,0,0,"real"
"209429","412806406765428737",0,0,0,0,0,0,1,0,1,0,"real"
"439615","494064138436349952",0,0,4,0,4,0,0,4,0,0,"real"
"169394","386336036449570816",1,0,0,0,0,0,1,0,0,0,"real"
"1482263","7993937640",1,0,0,0,0,0,2,0,0,1,"real"
"1242517","585740919741087746",1,0,0,0,0,1,2,0,2,2,"real"
"897497","565322180872130562",0,1,1,1,1,0,0,1,0,0,"real"
"1075383","577684925781913601",0,1,1,1,1,0,0,1,0,0,"real"
"75579","292049631049822208",0,0,0,0,0,0,0,0,0,1,"real"
"281198","445580657717039104",1,0,0,0,0,1,3,0,2,2,"real"
"86066","306445217144373248",0,3,3,2,3,0,0,1,0,0,"real"
"1160151","582066689912762369",0,1,2,1,0,0,1,0,1,1,"real"
"290505","448895288103559168",1,0,1,1,1,1,1,0,1,1,"real"
"1248344","585995690272251904",0,0,0,0,0,0,4,0,0,0,"real"
"1454313","593405073742495744",1,0,1,1,0,0,1,0,1,1,"real"
"747243","549794569890828288",0,1,1,1,0,0,0,0,0,0,"real"
"588832","524723996735332353",0,0,0,1,0,0,2,0,2,0,"real"
"739656","548700748293222400",0,0,1,0,1,0,0,1,0,0,"real"
"238682","427654808137252864",0,1,1,1,0,0,2,0,0,0,"real"
"851683","561480793810141184",0,0,0,0,0,0,1,0,0,0,"real"
"1221383","584842559526203393",1,0,0,0,0,0,1,0,1,1,"real"
"166958","384569669417697280",0,0,0,0,0,0,1,0,0,0,"real"
"1302623","588231829301366784",0,0,1,0,1,0,0,0,0,0,"real"
"692670","542020415363633152",0,0,0,0,0,0,1,0,0,0,"real"
"1114745","579891107028340736",1,0,0,0,0,0,1,0,1,1,"real"
"414554","487319893646532608",2,0,1,1,1,1,2,0,1,1,"real"
"821803","55840759051595776",0,0,1,0,0,0,1,0,1,0,"real"
"1005955","573283517301321729",0,3,1,0,2,0,0,0,0,2,"real"
"45418","243171446485041153",1,0,0,0,0,0,1,0,0,0,"real"
"912843","566569384093945856",0,0,1,0,0,0,0,1,0,0,"real"
"863264","562419406706200576",1,0,1,0,0,0,2,0,2,2,"real"
"825505","558796561992273920",1,1,1,0,0,1,1,0,1,0,"real"
"59258","266715097773256704",1,0,0,0,0,0,1,0,1,0,"real"
"695568","542430974533857280",0,0,0,0,0,0,2,0,1,1,"real"
"541884","515879189338415104",1,0,1,0,0,0,1,1,0,0,"real"
"522544","512355599749611520",0,0,1,0,0,0,0,0,0,0,"real"
"539920","515460650839977985",0,0,0,0,0,0,1,0,0,1,"real"
"386235","479414010735910912",0,0,0,0,0,0,0,0,1,0,"real"
"274819","443043690534031361",1,0,0,0,0,0,1,0,0,1,"real"
"859353","562087912288694272",0,0,0,0,1,0,0,0,0,0,"real"
"1072951","577574624759795712",1,1,1,1,1,0,2,0,2,2,"real"
"144160","365708556130988032",0,0,1,1,0,0,0,0,0,0,"real"
"252990","433630675137093632",0,0,0,0,0,0,2,0,0,0,"real"
"333641","463451521003184128",0,0,0,0,0,0,0,0,0,1,"real"
"866406","562677877343522816",2,0,0,0,0,0,3,0,0,0,"real"
"623364","530951662861443072",0,0,1,0,0,0,0,0,0,1,"real"
"1225282","585010846482341888",2,1,1,1,0,0,2,0,1,1,"real"
"46788","245908357242839041",1,0,0,0,0,1,0,1,0,0,"real"
"430015","491573375546847232",0,1,1,1,1,0,2,1,2,0,"real"
"911168","566414822128877569",0,0,0,0,0,0,1,0,0,0,"real"
"1139574","581072435698475008",0,0,0,0,0,0,2,0,0,0,"real"
"1084102","578191843713744897",2,1,0,1,1,0,2,1,2,1,"real"
"1450343","593265182119309312",1,0,1,0,0,0,1,0,0,0,"real"
"1168185","582402418819801089",0,1,2,0,0,0,0,0,0,0,"real"
"957035","570041204794003459",0,0,0,0,0,0,0,0,0,1,"real"
"569012","521101779946074112",1,1,0,0,0,0,2,0,0,0,"real"
"1223190","584917214442221569",1,0,0,0,0,0,1,0,0,0,"real"
"420221","488876225101062144",0,0,1,0,1,0,0,0,0,0,"real"
"1241249","585671019450523649",0,1,1,1,1,0,0,1,0,0,"real"
"470108","501789578701713408",1,0,2,0,1,0,1,0,0,2,"real"
"1310915","588537418589941760",1,0,0,0,0,0,1,0,1,1,"real"
"241153","428753861327601664",2,0,0,0,0,0,1,0,0,0,"real"
"1246374","585917388098371584",0,2,1,0,1,0,2,0,0,0,"real"
"1430303","592748758187773953",0,0,0,0,0,0,1,0,0,0,"real"
"247575","431376519060258816",0,0,0,0,0,0,1,0,1,0,"real"
"895650","565174007826116611",1,0,1,0,1,1,1,1,1,1,"real"
"133304","356153289290694657",0,0,0,0,0,0,1,0,1,0,"real"
"1067299","577228614934138882",0,1,1,1,1,0,0,1,0,0,"real"
"634601","532967198864592896",2,0,0,0,0,1,2,0,2,1,"real"
"887114","564510823742066689",0,0,0,0,0,0,1,0,1,0,"real"
"335885","464092176188596224",1,0,1,1,1,1,1,0,1,1,"real"
"1327535","589159414600507392",1,0,0,0,0,0,1,0,0,0,"real"
"1081039","578006981220249601",1,0,0,1,0,0,2,0,0,0,"real"
"711057","544671524972539904",1,1,1,1,1,0,1,0,0,0,"real"
"1165740","582328318504112128",0,0,0,0,0,1,1,0,1,0,"real"
"1251328","586146955576893440",1,0,0,2,1,0,2,0,2,0,"real"
"1200801","583860199259144193",0,0,0,0,0,0,1,0,1,1,"real"
"595822","526050449439621120",1,1,0,0,1,0,0,0,0,0,"real"
