"id","trust","fear","negative","sadness","anger","surprise","positive","disgust","joy","anticipation","realFAKEcat"
"222865","382596086151806976",0,0,1,0,0,0,1,0,1,1,"real"
"1136911","577865850515931137",0,0,0,0,0,0,1,0,1,0,"real"
"1434978","590948947469959168",0,1,1,1,1,0,0,1,0,0,"real"
"1188976","580727627578671104",0,3,4,3,0,2,0,0,0,0,"real"
"1000822","568990495491395584",1,0,0,0,0,0,1,0,1,1,"real"
"201720","364835730679283713",0,2,2,1,1,0,0,0,0,0,"real"
"1088625","574826685092102144",0,1,2,1,1,0,0,2,0,0,"real"
"1261704","583997626732810243",1,0,0,0,0,0,0,0,0,0,"real"
"545265","505165228506886145",0,0,0,0,0,0,0,0,0,1,"real"
"463558","484725932117475329",0,0,0,1,0,0,1,0,1,0,"real"
"924648","562642492538228736",1,0,1,0,1,0,2,1,1,2,"real"
"183139","347973894159884288",1,0,0,0,0,0,1,0,0,0,"real"
"1353361","587927690990059520",0,0,0,0,0,0,1,0,0,0,"real"
"1196575","580988491632250880",0,0,1,0,1,0,0,0,0,0,"real"
"782364","546504997332996096",1,0,0,0,0,0,1,0,1,1,"real"
"365594","454774599293878272",1,0,0,0,0,0,0,0,0,0,"real"
"726637","538369452224430080",0,0,0,0,0,0,1,0,1,0,"real"
"780597","546188030646943745",0,0,1,0,1,0,0,1,0,0,"real"
"374809","458070133697572864",0,2,1,1,1,0,0,1,0,0,"real"
"448916","480589763246690306",0,0,1,1,1,0,0,0,0,0,"real"
"712433","536304396632875008",0,0,0,0,0,0,1,0,0,0,"real"
"948883","564678196705361920",1,0,0,0,0,0,1,0,0,0,"real"
"162464","327655401434791936",0,1,1,0,0,0,1,1,0,1,"real"
"247870","400212018545688577",0,0,0,0,0,0,2,0,0,0,"real"
"547117","505566569439576064",0,0,0,0,0,1,0,0,0,1,"real"
"1128526","577358667994898432",0,1,0,0,0,0,0,0,0,0,"real"
"1118867","576797906000179200",0,0,1,0,0,0,0,0,0,0,"real"
"181189","346159805053943810",0,0,0,1,0,0,0,0,0,0,"real"
"1115683","576548800686227456",0,0,0,0,0,0,1,0,1,1,"real"
"266861","412078453630832640",0,0,0,0,0,0,1,0,0,0,"real"
