"id","trust","fear","negative","sadness","anger","surprise","positive","disgust","joy","anticipation","realFAKEcat"
"1538542","70776779475918848",1,1,2,1,1,0,1,1,0,1,"real"
"37965","297385853372735488",1,0,0,0,0,0,1,0,1,1,"fake"
"1152160","578716982578520064",0,0,0,0,0,0,1,0,1,0,"real"
"858359","555928737859239936",0,0,1,0,0,1,0,0,0,1,"real"
"968889","566352325258653696",2,0,0,0,0,0,2,0,0,0,"real"
"1425558","590635193029001216",0,0,1,1,1,0,0,0,0,0,"real"
"1089048","574867763073695744",0,1,0,0,0,0,0,0,0,0,"real"
"766862","544288319031758848",0,0,1,1,0,0,1,1,1,0,"real"
"1159443","579133134249185281",0,1,3,1,1,0,0,2,0,0,"real"
"352727","450219698022408192",1,0,0,0,0,0,2,0,0,0,"real"
"719647","537328134774079488",0,0,0,1,0,0,1,0,0,0,"real"
"122892","275548121768001536",1,0,0,0,0,0,1,0,0,0,"real"
"1230178","582588281562341376",0,1,1,0,0,0,2,0,1,2,"real"
"356602","451543826130149376",0,0,0,0,0,0,1,0,0,1,"real"
"831529","552891483116666880",2,2,0,3,0,3,3,0,3,3,"real"
"1122561","577013556882767872",1,0,1,1,0,0,2,0,1,1,"real"
"1420553","590427456818909184",0,1,1,1,0,0,0,0,0,1,"real"
"1185035","580503048117719040",1,1,0,0,0,0,0,0,0,0,"real"
"36996","296719102205120512",0,1,0,0,0,0,0,0,0,1,"fake"
"517984","499113801779015680",0,1,1,0,1,1,0,1,0,0,"real"
"33641","279945339845365760",1,0,1,0,0,0,2,1,1,0,"fake"
"1054336","572632672717021184",1,0,0,0,0,0,1,0,1,1,"real"
"1098173","575434382380429312",0,1,1,1,1,0,0,1,0,0,"real"
"120333","2713969949",0,0,0,0,0,0,0,1,0,0,"real"
"990722","568183175886671872",1,0,0,0,0,0,2,0,0,1,"real"
"126812","281450482977869826",0,0,0,0,0,1,1,0,0,0,"real"
"101998","238497112814411776",2,1,0,1,0,1,3,0,3,2,"real"
"427425","474606524808302592",1,0,0,0,0,0,1,0,1,1,"real"
"682244","531000687950192640",1,1,1,1,0,1,3,0,1,0,"real"
"61085","110988362386636800",1,0,0,0,0,0,1,0,0,0,"real"
"1065874","573340846377979904",1,0,0,0,0,1,1,0,1,1,"real"
"882204","558579140723343360",0,0,1,1,0,0,1,0,0,0,"real"
"769362","544629438999437313",1,0,0,0,1,0,2,0,0,0,"real"
"1298330","585620199925276672",0,1,1,1,1,1,0,0,0,0,"real"
"1003186","569207311652298752",1,0,0,0,0,0,1,0,0,0,"real"
"865146","556840905768845312",0,0,0,0,0,0,1,0,0,0,"real"
"252900","403335085660725248",1,0,1,1,1,0,1,0,0,0,"real"
"1065290","573311790462849024",0,0,0,0,0,0,0,1,0,0,"real"
"829441","552647565523427328",0,0,1,0,0,0,0,0,0,0,"real"
"1313389","586284173087866880",0,0,1,1,0,0,0,0,0,0,"real"
"707758","535516196821819392",1,0,2,1,1,0,0,1,0,0,"real"
"548445","505879795759325184",1,0,0,0,0,1,1,0,1,1,"real"
"941849","564152320573730816",0,1,0,1,0,0,1,0,1,0,"real"
"1424452","590598889763381248",1,2,2,2,2,0,1,2,0,0,"real"
"83751","190625047822598144",1,0,0,0,0,1,1,0,1,1,"real"
"1271983","584470804705873920",2,1,1,1,0,1,3,0,1,1,"real"
"14405","218380731968266240",0,0,0,0,0,0,1,0,0,0,"fake"
"958098","565475615382720512",0,0,0,0,0,0,1,0,0,0,"real"
"1541533","82575084971233281",1,1,1,1,0,0,1,0,0,1,"real"
"233600","3903355972",1,0,1,1,0,0,1,0,0,0,"real"
"1465458","591960141785792512",1,0,0,0,0,0,1,0,0,0,"real"
"837670","553590084021129216",0,0,1,0,1,0,0,0,0,0,"real"
"1064675","573286401925517312",0,2,2,2,0,0,0,0,0,0,"real"
"723790","537920674422349825",0,0,0,0,0,0,1,0,1,0,"real"
"1226450","582388466975158272",1,0,0,0,0,0,2,0,0,0,"real"
"243307","397120287566614529",1,0,0,0,0,0,1,0,1,0,"real"
"1104724","575854020952092672",0,0,2,1,0,0,1,2,0,0,"real"
"528041","501601749619462144",0,0,0,0,0,0,1,0,1,0,"real"
"928527","562990239426551809",0,1,0,0,1,0,1,0,0,2,"real"
"153571","317760194362875904",0,0,0,0,0,0,2,0,1,2,"real"
"552786","506823247011139585",1,0,0,0,0,1,2,0,2,1,"real"
"1348786","587752496707153920",0,1,1,1,1,0,0,0,0,0,"real"
"150924","314526035356045313",1,0,1,1,0,1,1,0,0,0,"real"
"953126","565040861172359168",1,0,0,0,0,0,1,0,0,0,"real"
"614349","518517694719852545",1,0,0,0,0,1,1,0,1,1,"real"
"1309495","586108132310421504",1,0,1,0,0,0,1,0,0,0,"real"
"1314896","586336756674334722",0,0,0,0,0,0,1,0,0,1,"real"
"284962","421437742652719105",1,0,0,0,0,0,0,0,0,0,"real"
"77363","172081607669329921",1,0,0,0,0,0,1,0,0,0,"real"
